Loan_ID,Applicant_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Has_CreditCard,LoanAmount,Loan_Amount_Term,Owns_Car,Owns_House,Property_Area,Loan_Status
LN0025,Customer_0125,Male,Yes,1,Graduate,Yes,67008,13096,Yes,467,360,Unknown,0,Semiurban,Y
LN0026,Customer_0126,Male,No,0,Not Graduate,No,60573,25562,Yes,117,360,Unknown,1,Rural,Y
LN0027,Customer_0127,Male,Yes,1,Not Graduate,Yes,54932,14202,Yes,106,180,No,0,Semiurban,N
LN0028,Customer_0128,Other,Yes,0,Graduate,No,23881,1023,Yes,519,240,Unknown,1,Urban,Y
LN0029,Customer_0129,Other,Yes,3,Not Graduate,No,36557,25848,Yes,202,240,Yes,1,Semiurban,N
LN0030,Customer_0130,Other,No,1,Not Graduate,Yes,72730,1779,Yes,250,240,Unknown,0,Rural,N
LN0031,Customer_0131,Female,No,1,Not Graduate,Yes,64324,44890,Yes,648,240,Unknown,0,Rural,N
LN0032,Customer_0132,Other,Yes,2,Graduate,No,23841,48548,Yes,88,60,Unknown,1,Rural,Y
LN0033,Customer_0133,Female,No,3,Not Graduate,No,16475,10426,Yes,561,300,Yes,1,Semiurban,N
LN0034,Customer_0134,Female,No,3,Not Graduate,No,9671,12536,Yes,297,180,Yes,0,Urban,N
LN0035,Customer_0135,Other,No,0,Not Graduate,No,63584,11351,Yes,163,180,Unknown,1,Urban,Y
LN0036,Customer_0136,Female,No,2,Graduate,No,34764,3983,Yes,427,300,Unknown,0,Urban,N
LN0037,Customer_0137,Other,Yes,2,Graduate,No,56787,46873,Yes,184,60,Unknown,1,Rural,Y
LN0038,Customer_0138,Other,No,0,Not Graduate,Yes,8961,41983,Yes,172,240,Unknown,1,Rural,N
LN0039,Customer_0139,Male,No,1,Not Graduate,Yes,58890,14581,Yes,644,300,Unknown,0,Rural,N
LN0040,Customer_0140,Other,Yes,0,Not Graduate,Yes,66884,48030,Yes,262,60,Yes,1,Urban,Y
LN0041,Customer_0141,Male,No,0,Graduate,No,8155,15770,Yes,551,240,Unknown,1,Rural,Y
LN0042,Customer_0142,Other,No,0,Graduate,No,68768,7385,Yes,224,300,Unknown,1,Rural,Y
LN0043,Customer_0143,Other,No,2,Not Graduate,Yes,63851,22542,Yes,324,180,Unknown,0,Semiurban,Y
LN0044,Customer_0144,Male,Yes,0,Not Graduate,Yes,12221,20223,Yes,285,300,Unknown,0,Rural,N
LN0045,Customer_0145,Male,Yes,0,Graduate,Yes,47566,549770,Yes,595,60,Unknown,1,Rural,Y
LN0046,Customer_0146,Other,No,0,Graduate,No,5711,35504,Yes,220,120,Unknown,1,Urban,Y
LN0047,Customer_0147,Female,No,3,Not Graduate,No,15531,19158,Yes,469,240,Unknown,1,Urban,Y
LN0048,Customer_0148,Male,Yes,1,Graduate,No,13480,25067,Yes,586,300,Yes,0,Semiurban,N
LN0049,Customer_0149,Female,Yes,1,Not Graduate,Yes,43708,10051,Yes,146,240,Yes,1,Urban,N
LN0050,Customer_0150,Female,Yes,1,Not Graduate,Yes,15191,Unknown,Yes,70,360,Unknown,0,Urban,N
LN0051,Customer_0151,Female,No,1,Graduate,Yes,62949,25167,Yes,339,240,Unknown,1,Rural,Y
LN0052,Customer_0152,Male,No,2,Not Graduate,No,70658,35502,Yes,671,300,Unknown,0,Semiurban,N
LN0053,Customer_0153,Female,Yes,2,Not Graduate,Yes,Unknown,32570,Yes,131,240,Yes,0,Rural,N
LN0054,Customer_0154,Male,No,0,Not Graduate,Yes,74190,1492,Yes,156,60,Unknown,0,Rural,N
LN0055,Customer_0155,Female,No,2,Not Graduate,No,69708,41907,Yes,335,120,Unknown,1,Semiurban,Y
LN0056,Customer_0156,Other,No,1,Not Graduate,No,10317,26151,Yes,670,120,Unknown,0,Urban,Y
LN0057,Customer_0157,Other,No,3,Not Graduate,Yes,59896,682,Yes,599,300,Unknown,1,Semiurban,Y
LN0058,Customer_0158,Male,No,0,Not Graduate,No,3159,25204,Yes,380,300,Unknown,1,Rural,Y
LN0059,Customer_0159,Other,No,0,Graduate,Yes,60115,20866,Yes,181,240,No,1,Semiurban,Y
LN0060,Customer_0160,Other,No,1,Graduate,No,70665,46662,Yes,388,180,Yes,1,Urban,Y
LN0061,Customer_0161,Female,Yes,1,Not Graduate,No,22462,21131,Yes,270,120,Unknown,0,Semiurban,Y
LN0062,Customer_0162,Male,Yes,1,Graduate,No,5917,44714,Yes,126,120,No,0,Rural,N
LN0063,Customer_0163,Female,Yes,2,Not Graduate,No,22397,32868,Yes,654,360,Unknown,0,Rural,N
LN0064,Customer_0164,Female,Yes,0,Not Graduate,No,29125,1093,Yes,641,360,Unknown,0,Rural,N
LN0065,Customer_0165,Female,Yes,1,Graduate,No,74862,13485,Yes,99,180,Unknown,1,Rural,N
LN0066,Customer_0166,Female,Yes,3,Not Graduate,Yes,63729,10683,Yes,392,120,Yes,0,Urban,N
LN0067,Customer_0167,Female,Yes,0,Not Graduate,Yes,50277,20156,Yes,381,300,Unknown,0,Semiurban,N
LN0068,Customer_0168,Female,Yes,0,Graduate,Yes,17349,41392,Yes,343,120,Unknown,1,Semiurban,N
LN0069,Customer_0169,Female,Yes,2,Graduate,No,63715,5334,Yes,201,300,Unknown,1,Semiurban,Y
LN0070,Customer_0170,Male,No,0,Graduate,No,37728,33304,Yes,144,300,Unknown,1,Urban,Y
LN0071,Customer_0171,Other,No,1,Graduate,Yes,33792,49752,Yes,430,180,Yes,1,Semiurban,N
LN0072,Customer_0172,Female,Yes,1,Graduate,Yes,10902,42626,Yes,489,120,No,1,Semiurban,Y
LN0073,Customer_0173,Female,No,3,Graduate,Yes,38158,35523,Yes,370,240,No,0,Urban,N
LN0074,Customer_0174,Female,No,0,Not Graduate,No,6917,8510,Yes,139,120,Unknown,1,Rural,Y
LN0075,Customer_0175,Female,Yes,0,Graduate,Yes,15620,15645,Yes,578,120,Unknown,0,Rural,Y
LN0076,Customer_0176,Female,Yes,2,Graduate,Yes,27691,23900,Yes,332,60,Yes,1,Urban,Y
LN0077,Customer_0177,Female,Yes,1,Not Graduate,Yes,73734,31107,Yes,394,360,Yes,0,Urban,Y
LN0078,Customer_0178,Other,No,3,Not Graduate,Yes,29046,478220,Yes,282,180,Yes,1,Rural,Y
LN0079,Customer_0179,Other,No,1,Graduate,No,25386,44692,Yes,401,240,Yes,0,Urban,N
LN0080,Customer_0180,Female,Yes,0,Not Graduate,Yes,14271,34295,Yes,482,240,No,0,Semiurban,Y
LN0081,Customer_0181,Other,No,0,Not Graduate,Yes,24526,24646,Yes,363,240,Unknown,1,Semiurban,Y
LN0082,Customer_0182,Male,No,3,Not Graduate,No,46798,443,Yes,429,300,Unknown,1,Urban,Y
LN0083,Customer_0183,Female,No,0,Not Graduate,No,28257,48417,Yes,306,180,Unknown,0,Rural,N
LN0084,Customer_0184,Male,Yes,3,Not Graduate,No,60985,41346,Yes,446,360,Unknown,1,Semiurban,Y
LN0085,Customer_0185,Male,No,3,Not Graduate,No,56130,5674,Yes,306,300,Unknown,1,Rural,Y
LN0086,Customer_0186,Female,No,1,Not Graduate,No,29645,37963,Yes,208,240,Unknown,0,Semiurban,N
LN0087,Customer_0187,Other,No,3,Graduate,Yes,27189,1869,Yes,252,300,Unknown,0,Rural,N
LN0088,Customer_0188,Male,No,0,Not Graduate,Yes,Unknown,42971,Yes,462,300,Unknown,1,Urban,N
LN0089,Customer_0189,Female,No,2,Graduate,Yes,8800,324970,Yes,131,60,Unknown,0,Semiurban,N
LN0090,Customer_0190,Male,No,2,Not Graduate,No,27229,350600,Yes,495,240,Unknown,0,Semiurban,N
LN0091,Customer_0191,Male,No,0,Not Graduate,Yes,61524,44311,Yes,74,240,Unknown,1,Semiurban,Y
LN0092,Customer_0192,Male,Yes,2,Graduate,No,32717,16663,Yes,67,360,Unknown,1,Urban,Y
LN0093,Customer_0193,Male,Yes,2,Not Graduate,No,66238,770,Yes,546,180,Unknown,1,Urban,Y
LN0094,Customer_0194,Other,No,3,Not Graduate,Yes,7819,21946,Yes,165,120,Unknown,1,Rural,Y
LN0095,Customer_0195,Male,Yes,2,Graduate,No,59784,29000,Yes,198,120,Unknown,1,Rural,Y
LN0096,Customer_0196,Male,No,2,Not Graduate,Yes,72836,1559,Yes,375,60,Unknown,1,Rural,Y
LN0097,Customer_0197,Male,No,2,Not Graduate,No,49935,27073,Yes,70,120,Yes,1,Semiurban,Y
LN0098,Customer_0198,Other,No,1,Graduate,Yes,51429,44327,Yes,655,360,Unknown,1,Rural,Y
LN0099,Customer_0199,Male,Yes,0,Graduate,No,6998,28123,Yes,197,300,Unknown,1,Rural,Y
LN0100,Customer_0200,Male,No,3,Not Graduate,No,44750,6982,Yes,687,240,Unknown,0,Semiurban,N
LN0101,Customer_0201,Other,No,2,Graduate,No,8180,18824,Yes,682,180,Unknown,0,Rural,Y
LN0102,Customer_0202,Other,Yes,0,Not Graduate,Yes,Unknown,32876,Yes,689,120,Unknown,0,Semiurban,N
LN0103,Customer_0203,Other,Yes,2,Not Graduate,No,20879,9147,Yes,495,60,Unknown,1,Semiurban,Y
LN0104,Customer_0204,Male,No,1,Graduate,Yes,698330,7078,Yes,336,180,Unknown,0,Rural,Y
LN0105,Customer_0205,Other,Yes,1,Graduate,No,17316,19744,Yes,374,180,Yes,0,Rural,N
LN0106,Customer_0206,Other,Yes,2,Graduate,Yes,27525,19873,Yes,249,240,Unknown,1,Rural,Y
LN0107,Customer_0207,Male,No,2,Graduate,No,8378,317,Yes,197,60,Unknown,1,Urban,Y
LN0108,Customer_0208,Other,No,2,Not Graduate,Yes,51669,33108,Yes,416,360,Yes,0,Rural,N
LN0109,Customer_0209,Male,No,1,Graduate,No,5577,46396,Yes,270,240,Unknown,1,Urban,Y
LN0110,Customer_0210,Female,Yes,1,Graduate,No,24690,37212,Yes,277,60,Unknown,1,Semiurban,N
LN0111,Customer_0211,Other,Yes,0,Not Graduate,No,61514,18458,Yes,355,360,Yes,0,Semiurban,N
LN0112,Customer_0212,Female,Yes,3,Not Graduate,Yes,63962,45456,Yes,228,60,No,1,Rural,Y
LN0113,Customer_0213,Male,No,3,Not Graduate,No,72195,Unknown,Yes,525,300,Unknown,0,Rural,N
LN0114,Customer_0214,Other,Yes,1,Not Graduate,No,21953,22062,Yes,466,180,Yes,0,Rural,N
LN0115,Customer_0215,Male,Yes,3,Not Graduate,No,711880,45423,Yes,659,120,Unknown,1,Urban,Y
LN0116,Customer_0216,Female,No,2,Not Graduate,Yes,Unknown,43350,Yes,677,180,Unknown,1,Semiurban,Y
LN0117,Customer_0217,Male,No,0,Not Graduate,No,45599,12180,Yes,172,240,Unknown,0,Urban,N
LN0118,Customer_0218,Other,No,1,Not Graduate,Yes,40985,45959,Yes,334,60,No,0,Rural,N
LN0119,Customer_0219,Other,Yes,1,Not Graduate,Yes,16537,13384,Yes,52,60,Unknown,1,Urban,Y
LN0120,Customer_0220,Female,No,3,Graduate,No,45717,44153,Yes,311,360,Unknown,0,Semiurban,N
LN0121,Customer_0221,Male,Yes,2,Graduate,No,12027,12128,Yes,520,300,Unknown,1,Rural,Y
LN0122,Customer_0222,Other,Yes,0,Not Graduate,Yes,5536,12473,Yes,381,300,Unknown,0,Urban,N
LN0123,Customer_0223,Female,No,3,Graduate,Yes,5525,39747,Yes,310,360,No,1,Semiurban,Y
LN0124,Customer_0224,Other,No,1,Not Graduate,No,12176,2366,Yes,52,360,Unknown,0,Rural,N
LN0125,Customer_0225,Other,No,1,Not Graduate,Yes,73423,27578,Yes,496,360,Unknown,1,Rural,Y
LN0126,Customer_0226,Male,No,3,Not Graduate,Yes,73013,45649,Yes,265,300,Unknown,1,Rural,Y
LN0127,Customer_0227,Other,No,2,Not Graduate,No,20755,15327,Yes,528,180,Unknown,1,Rural,N
LN0128,Customer_0228,Male,Yes,0,Graduate,No,276080,1565,Yes,618,180,No,0,Urban,Y
LN0129,Customer_0229,Other,Yes,0,Graduate,Yes,62843,36472,Yes,644,60,Unknown,1,Urban,Y
LN0130,Customer_0230,Female,Yes,0,Not Graduate,Yes,55513,26976,Yes,489,60,Unknown,0,Rural,N
LN0131,Customer_0231,Other,No,0,Graduate,No,74640,36969,Yes,249,300,Unknown,0,Rural,N
LN0132,Customer_0232,Male,Yes,2,Graduate,Yes,23693,45473,Yes,328,120,No,1,Urban,Y
LN0133,Customer_0233,Male,No,1,Not Graduate,Yes,60908,12209,Yes,184,240,Unknown,1,Urban,Y
LN0134,Customer_0234,Female,No,1,Not Graduate,No,15726,12929,Yes,343,300,Unknown,0,Rural,N
LN0135,Customer_0235,Other,Yes,0,Graduate,Yes,9898,10444,Yes,254,120,Unknown,0,Rural,Y
LN0136,Customer_0236,Other,Yes,0,Graduate,Yes,47945,8756,Yes,134,240,Unknown,0,Urban,N
LN0137,Customer_0237,Female,No,0,Not Graduate,Yes,48684,3453,Yes,342,180,Unknown,0,Urban,N
LN0138,Customer_0238,Other,Yes,3,Not Graduate,Yes,47874,48424,Yes,439,360,Unknown,1,Urban,Y
LN0139,Customer_0239,Other,No,3,Graduate,No,72878,42262,Yes,187,60,Unknown,0,Urban,N
LN0140,Customer_0240,Male,Yes,1,Not Graduate,Yes,51008,47292,Yes,460,240,Unknown,1,Rural,Y
LN0141,Customer_0241,Other,Yes,1,Not Graduate,Yes,Unknown,26326,Yes,558,60,No,1,Urban,N
LN0142,Customer_0242,Other,Yes,0,Not Graduate,No,37404,24001,Yes,267,360,Unknown,0,Rural,N
LN0143,Customer_0243,Female,Yes,3,Graduate,Yes,14104,33025,Yes,667,120,Unknown,0,Urban,N
LN0144,Customer_0244,Female,Yes,2,Graduate,Yes,29048,14788,Yes,106,60,Unknown,0,Urban,Y
LN0145,Customer_0245,Male,No,3,Not Graduate,No,20628,1046,Yes,141,300,Unknown,0,Semiurban,N
LN0146,Customer_0246,Other,Yes,1,Graduate,Yes,16268,6646,Yes,419,300,Unknown,0,Semiurban,Y
LN0147,Customer_0247,Other,Yes,3,Not Graduate,Yes,67734,28160,Yes,620,360,Yes,0,Semiurban,Y
LN0148,Customer_0248,Other,Yes,1,Graduate,Yes,13704,26287,Yes,461,240,Unknown,1,Urban,N
LN0149,Customer_0249,Male,No,0,Graduate,Yes,73050,16432,Yes,242,240,Unknown,1,Semiurban,Y
LN0150,Customer_0250,Male,No,2,Graduate,Yes,27834,24743,Yes,166,60,Unknown,0,Semiurban,N
LN0151,Customer_0251,Female,No,0,Not Graduate,Yes,51308,34621,Yes,324,120,Yes,0,Rural,N
LN0152,Customer_0252,Male,No,0,Not Graduate,Yes,63737,44814,Yes,402,300,Unknown,0,Semiurban,N
LN0153,Customer_0253,Other,No,2,Not Graduate,No,64122,20125,Yes,495,360,Unknown,0,Semiurban,N
LN0154,Customer_0254,Other,Yes,2,Graduate,No,41383,34836,Yes,85,180,Unknown,0,Rural,N
LN0155,Customer_0255,Male,Yes,2,Not Graduate,No,53420,46184,Yes,673,60,Unknown,1,Urban,N
LN0156,Customer_0256,Other,Yes,1,Not Graduate,Yes,17840,40225,Yes,246,300,Yes,1,Semiurban,N
LN0157,Customer_0257,Other,No,0,Not Graduate,No,27771,5823,Yes,339,300,Unknown,1,Rural,Y
LN0158,Customer_0258,Male,No,1,Not Graduate,No,31733,26025,Yes,535,120,Yes,0,Rural,N
LN0159,Customer_0259,Male,Yes,2,Graduate,No,22480,32996,Yes,460,300,Unknown,0,Semiurban,N
LN0160,Customer_0260,Other,No,1,Not Graduate,No,19945,36020,Yes,472,120,Unknown,0,Rural,N
LN0161,Customer_0261,Other,No,2,Not Graduate,Yes,14641,33119,Yes,288,120,Unknown,1,Semiurban,N
LN0162,Customer_0262,Other,No,3,Graduate,Yes,18232,35040,Yes,347,180,Unknown,0,Urban,N
LN0163,Customer_0263,Female,Yes,2,Not Graduate,Yes,47326,20421,Yes,91,60,Unknown,0,Semiurban,N
LN0164,Customer_0264,Female,Yes,0,Graduate,No,46851,24809,Yes,137,240,Unknown,1,Urban,Y
LN0165,Customer_0265,Female,No,0,Graduate,Yes,27615,17241,Yes,225,300,Yes,0,Rural,N
LN0166,Customer_0266,Male,No,0,Graduate,No,26255,47417,Yes,327,120,Unknown,1,Rural,N
LN0167,Customer_0267,Female,No,1,Not Graduate,Yes,33709,9068,Yes,392,120,Unknown,1,Urban,Y
LN0168,Customer_0268,Male,No,0,Graduate,Yes,59173,26834,Yes,346,240,Unknown,0,Semiurban,Y
LN0169,Customer_0269,Male,Yes,2,Graduate,No,650280,4194,Yes,329,240,No,0,Semiurban,N
LN0170,Customer_0270,Female,No,3,Graduate,No,13068,312200,Yes,473,120,Unknown,0,Semiurban,N
LN0171,Customer_0271,Female,Yes,0,Not Graduate,Yes,45089,13699,Yes,465,300,Unknown,1,Rural,Y
LN0172,Customer_0272,Female,Yes,1,Graduate,Yes,48832,3324,Yes,82,60,Unknown,1,Rural,Y
LN0173,Customer_0273,Other,Yes,3,Graduate,Yes,9822,43911,Yes,77,300,Unknown,1,Urban,N
LN0174,Customer_0274,Female,No,0,Graduate,No,23893,39029,Yes,258,60,Unknown,0,Semiurban,N
LN0175,Customer_0275,Other,Yes,0,Not Graduate,No,17251,21335,Yes,651,300,Yes,1,Rural,N
LN0176,Customer_0276,Male,Yes,3,Graduate,No,46145,26832,Yes,643,240,Unknown,0,Rural,Y
LN0177,Customer_0277,Other,No,0,Graduate,No,74215,1432,Yes,297,300,Unknown,1,Rural,Y
LN0178,Customer_0278,Female,No,1,Not Graduate,Yes,54837,480,Yes,427,60,Unknown,1,Urban,Y
LN0179,Customer_0279,Male,No,2,Not Graduate,No,42380,2970,Yes,407,300,Unknown,1,Rural,Y
LN0180,Customer_0280,Male,Yes,2,Not Graduate,No,24205,34433,Yes,67,300,Unknown,0,Urban,N
LN0181,Customer_0281,Male,No,3,Graduate,No,59959,49480,Yes,262,240,No,0,Urban,N
LN0182,Customer_0282,Other,Yes,2,Graduate,Yes,69948,14265,Yes,563,360,Unknown,1,Urban,Y
LN0183,Customer_0283,Female,Yes,0,Graduate,Yes,70785,8608,Yes,143,360,Yes,0,Semiurban,N
LN0184,Customer_0284,Male,No,0,Graduate,No,70775,7250,Yes,66,300,Unknown,0,Semiurban,N
LN0185,Customer_0285,Male,Yes,1,Not Graduate,No,56354,944,Yes,288,360,Unknown,0,Rural,N
LN0186,Customer_0286,Male,Yes,2,Graduate,Yes,32028,34820,Yes,577,300,Unknown,1,Semiurban,Y
LN0187,Customer_0287,Other,Yes,3,Not Graduate,Yes,67082,10542,Yes,226,240,Unknown,1,Semiurban,Y
LN0188,Customer_0288,Other,Yes,0,Graduate,No,62892,7703,Yes,180,300,Unknown,0,Rural,N
LN0189,Customer_0289,Female,No,3,Graduate,Yes,17803,26232,Yes,347,180,Yes,1,Urban,N
LN0190,Customer_0290,Other,Yes,0,Graduate,No,18653,34219,Yes,112,120,Unknown,0,Urban,Y
LN0191,Customer_0291,Male,No,0,Not Graduate,Yes,23674,11203,Yes,179,240,Unknown,1,Rural,N
LN0192,Customer_0292,Female,Yes,1,Not Graduate,No,45345,43743,Yes,412,60,Unknown,0,Rural,N
LN0193,Customer_0293,Male,Yes,2,Not Graduate,No,42920,40686,Yes,665,180,Unknown,0,Semiurban,N
LN0194,Customer_0294,Male,No,1,Not Graduate,No,35614,29922,Yes,319,180,Yes,1,Urban,N
LN0195,Customer_0295,Other,Yes,2,Graduate,No,21968,13965,Yes,317,120,Yes,0,Semiurban,Y
LN0196,Customer_0296,Female,Yes,3,Graduate,Yes,57850,20387,Yes,549,180,Unknown,0,Urban,N
LN0197,Customer_0297,Other,Yes,2,Graduate,Yes,65148,34354,Yes,589,120,Unknown,0,Urban,N
LN0198,Customer_0298,Other,Yes,3,Graduate,No,63661,49541,Yes,536,300,Unknown,0,Semiurban,N
LN0199,Customer_0299,Female,Yes,0,Graduate,Yes,20191,3728,Yes,266,240,Unknown,0,Urban,N
LN0200,Customer_0300,Male,Yes,3,Not Graduate,No,62610,24391,Yes,406,240,Unknown,0,Urban,N
LN0201,Customer_0301,Male,No,3,Not Graduate,Yes,48252,25394,Yes,695,240,Unknown,1,Urban,N
LN0202,Customer_0302,Female,No,0,Graduate,No,15093,12299,Yes,335,120,Unknown,1,Semiurban,Y
LN0203,Customer_0303,Male,No,3,Graduate,Yes,29025,6480,Yes,528,120,Yes,1,Semiurban,N
LN0204,Customer_0304,Female,Yes,3,Graduate,Yes,37336,28530,Yes,595,180,Yes,0,Rural,N
LN0205,Customer_0305,Female,Yes,0,Graduate,Yes,28436,47232,Yes,461,240,Unknown,1,Urban,N
LN0206,Customer_0306,Other,Yes,0,Not Graduate,Yes,45690,4106,Yes,380,180,Unknown,0,Urban,N
LN0207,Customer_0307,Female,No,0,Graduate,No,73440,41449,Yes,498,300,Unknown,0,Urban,N
LN0208,Customer_0308,Other,Yes,2,Graduate,No,31094,18703,Yes,76,180,Yes,0,Semiurban,N
LN0209,Customer_0309,Male,No,0,Graduate,Yes,66399,32100,Yes,161,240,Yes,1,Urban,Y
LN0210,Customer_0310,Male,Yes,0,Graduate,Yes,7509,11120,Yes,541,120,Unknown,0,Semiurban,N
LN0211,Customer_0311,Male,Yes,3,Not Graduate,Yes,73062,44123,Yes,186,180,Unknown,1,Semiurban,Y
LN0212,Customer_0312,Male,Yes,1,Graduate,Yes,41677,38920,Yes,587,180,Yes,0,Semiurban,N
LN0213,Customer_0313,Other,No,1,Not Graduate,No,57501,19318,Yes,311,120,Yes,1,Semiurban,Y
LN0214,Customer_0314,Male,Yes,2,Not Graduate,Yes,38935,25722,Yes,696,120,No,0,Rural,N
LN0215,Customer_0315,Female,No,2,Graduate,Yes,70050,31000,Yes,571,240,Yes,0,Semiurban,N
LN0216,Customer_0316,Female,Yes,1,Graduate,Yes,20795,2505,Yes,348,300,Unknown,1,Rural,Y
LN0217,Customer_0317,Female,Yes,1,Graduate,Yes,43492,23463,Yes,159,60,Unknown,0,Semiurban,Y
LN0218,Customer_0318,Other,No,0,Graduate,Yes,121670,14786,Yes,482,240,No,1,Semiurban,Y
LN0219,Customer_0319,Male,Yes,3,Graduate,Yes,54910,7798,Yes,528,180,Unknown,1,Urban,Y
LN0220,Customer_0320,Male,Yes,0,Not Graduate,Yes,12304,24253,Yes,673,240,Yes,0,Semiurban,N
LN0221,Customer_0321,Male,Yes,2,Not Graduate,Yes,62289,39702,Yes,662,240,Unknown,1,Urban,Y
LN0222,Customer_0322,Other,Yes,1,Not Graduate,No,7808,9003,Yes,316,120,Unknown,1,Semiurban,N
LN0223,Customer_0323,Female,No,2,Not Graduate,Yes,34897,16439,Yes,262,300,Unknown,0,Rural,N
LN0224,Customer_0324,Female,No,0,Not Graduate,Yes,7907,8899,Yes,358,60,Unknown,0,Rural,N
LN0225,Customer_0325,Male,Yes,2,Graduate,Yes,71761,14714,Yes,103,300,Unknown,1,Rural,N
LN0226,Customer_0326,Female,Yes,2,Graduate,Yes,4014,15861,Yes,444,240,Unknown,0,Semiurban,Y
LN0227,Customer_0327,Female,No,3,Not Graduate,No,70557,20502,Yes,561,120,Unknown,0,Urban,Y
LN0228,Customer_0328,Other,Yes,2,Graduate,Yes,54828,28424,Yes,374,120,Unknown,0,Semiurban,Y
LN0229,Customer_0329,Other,No,0,Graduate,No,61884,Unknown,Yes,145,180,Unknown,0,Urban,N
LN0230,Customer_0330,Other,Yes,3,Not Graduate,No,71120,13059,Yes,223,360,Unknown,1,Rural,Y
LN0231,Customer_0331,Other,No,2,Not Graduate,No,7942,36257,Yes,393,180,Yes,0,Urban,N
LN0232,Customer_0332,Male,No,0,Not Graduate,No,65681,20710,Yes,254,60,Unknown,0,Rural,N
LN0233,Customer_0333,Other,No,1,Graduate,Yes,10370,42360,Yes,104,180,Unknown,1,Urban,N
LN0234,Customer_0334,Female,No,3,Not Graduate,No,47132,15201,Yes,275,180,Unknown,1,Urban,Y
LN0235,Customer_0335,Male,Yes,2,Not Graduate,No,16672,17577,Yes,356,360,No,1,Urban,N
LN0236,Customer_0336,Female,Yes,2,Graduate,Yes,55934,4994,Yes,330,120,Unknown,1,Rural,Y
LN0237,Customer_0337,Female,No,3,Graduate,No,59209,7506,Yes,666,120,Unknown,1,Rural,Y
LN0238,Customer_0338,Female,No,0,Not Graduate,No,11467,1497,Yes,351,300,Unknown,1,Rural,N
LN0239,Customer_0339,Other,No,2,Graduate,No,29935,9442,Yes,254,300,Unknown,1,Rural,N
LN0240,Customer_0340,Other,No,0,Not Graduate,No,547210,2410,Yes,269,240,Yes,1,Urban,Y
LN0241,Customer_0341,Male,Yes,3,Graduate,Yes,65230,44510,Yes,477,60,Unknown,0,Rural,N
LN0242,Customer_0342,Male,No,2,Not Graduate,No,14551,26154,Yes,190,240,Yes,0,Semiurban,N
