,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Owns_House,Property_Area,Loan_Status,Has_CreditCard
317,Female,Yes,2,Not Graduate,Yes,32658,25920,318,120,1,Semiurban,Y,Yes
318,Female,Yes,3,Not Graduate,Yes,14928,39668,480,360,0,Rural,N,Yes
320,Female,Yes,2,Graduate,No,54243,33375,172,360,1,Semiurban,Y,Yes
321,Male,No,2,Not Graduate,No,41318,15072,601,120,1,Urban,Y,Yes
322,Other,No,2,Graduate,No,50812,36359,268,60,0,Urban,N,Yes
323,Female,Yes,1,Not Graduate,Yes,48048,38413,465,180,1,Rural,Y,Yes
324,Other,Yes,2,Not Graduate,Yes,45875,4119,235,120,0,Semiurban,N,Yes
325,Other,Yes,3,Graduate,No,27591,5311,637,240,0,Rural,Y,Yes
326,Female,No,3,Graduate,Yes,16891,8944,613,180,0,Rural,N,Yes
327,Male,No,3,Not Graduate,Yes,29484,3048,254,300,1,Urban,N,Yes
328,Female,Yes,3,Graduate,No,29152,37212,385,60,1,Semiurban,N,Yes
329,Male,No,2,Graduate,No,52457,4120,439,300,0,Rural,N,Yes
330,Other,Yes,1,Graduate,Yes,74348,11653,353,300,1,Rural,Y,Yes
331,Male,Yes,0,Graduate,No,39112,16000,561,240,0,Rural,N,Yes
332,Male,No,3,Graduate,No,23840,33782,275,60,0,Urban,N,Yes
333,Male,No,0,Not Graduate,No,4208,45654,562,60,0,Urban,Y,Yes
334,Other,No,0,Not Graduate,No,21242,9960,78,240,0,Rural,N,Yes
335,Other,No,2,Not Graduate,No,4971,21280,653,360,1,Semiurban,Y,Yes
336,Male,Yes,3,Not Graduate,No,32795,23437,664,60,0,Urban,N,Yes
337,Male,Yes,3,Graduate,No,21055,25534,561,240,1,Rural,N,Yes
338,Female,Yes,3,Not Graduate,No,14502,34359,684,60,0,Urban,N,Yes
339,Male,No,0,Graduate,No,31577,44221,663,360,0,Urban,N,Yes
340,Female,Yes,3,Not Graduate,Yes,13354,13339,403,300,1,Rural,Y,Yes
341,Male,No,3,Not Graduate,No,70663,35356,521,120,0,Urban,N,Yes
342,Female,No,1,Graduate,No,26860,35306,364,120,1,Urban,Y,Yes
343,Other,No,2,Not Graduate,No,36328,14823,606,60,1,Rural,Y,Yes
344,Male,Yes,3,Not Graduate,Yes,45769,12459,328,240,0,Urban,N,Yes
345,Male,No,3,Not Graduate,No,23771,6181,337,60,1,Rural,Y,Yes
346,Male,No,2,Not Graduate,No,55084,12208,416,300,0,Rural,Y,Yes
