Emp ID,Age in Yrs.,Weight in Kgs.,Age in Company (Years),Salary,Sales,State
111214,45.95,67,3.92,189926,379852,MO
111215,23.06,41,1.48,125805,264190.5,LA
111220,43.92,77,4.25,100259,270699.3,GA
111226,52.59,88,20.47,121315,303287.5,VT
111228,28.42,89,5.34,194929,428843.8,WA
111230,41.47,54,19.99,147722,295444,PA
111235,40.81,51,1.59,178875,232537.5,NM
111236,49.35,72,4.49,107332,128798.4,TN
111237,59.22,71,9.01,153934,153934,LA
111239,54.54,83,23.01,121571,72942.6,CA
111240,57.95,63,31.93,168173,386797.9,PA
111241,44.34,40,16.01,138485,166182,IA
111242,35.33,54,8.99,120966,72579.6,IA
111243,24.02,48,3.01,189834,417634.8,PA
111244,49.78,47,2,46747,88819.3,MI
111246,30.9,47,2.85,189229,151383.2,NE
111251,30.53,72,5.29,144093,201730.2,FL
111252,28.99,67,2.11,126573,265803.3,IN
111255,33.16,46,10.27,113800,79660,TN
111256,56.59,63,30.46,42257,97191.1,NY
111258,58.19,56,29.74,184739,387951.9,MA
111259,31.63,52,0.18,132786,265572,CA
111260,25.9,50,3.08,46399,64958.6,MI
111267,25.7,65,1.35,87045,191499,CT
111270,45.2,56,1.98,116127,278704.8,NH
111272,45.93,67,21.19,133042,345909.2,TX
111274,24.31,60,0.02,184390,424097,NC
111278,27.93,81,5.98,119664,227361.6,IL
111279,49.81,43,23.48,109566,328698,PA
111282,32.19,53,5.75,138649,388217.2,VA
111283,36.89,47,2.05,94118,56470.8,LA
111284,23.36,40,1.07,113708,227416,KY
111287,27.62,51,4.33,44235,70776,OH
111289,42.98,68,1.24,157029,329760.9,MO
111290,31.97,44,6.53,107752,161628,IN
111291,30.58,68,7.3,146932,352636.8,CO
111293,45.38,88,23.1,198280,456044,NH
111294,29.32,73,4.02,126737,342189.9,MI
111296,26.38,72,1.23,128808,283377.6,WA
111298,37.84,57,5.47,157891,268414.7,AL
111301,40.17,52,6.35,179551,412967.3,MN
111302,29.94,55,7.28,108008,183613.6,MS
111303,41.27,54,0.09,51309,133403.4,VA
111305,48.13,59,26.55,102657,225845.4,WA
111316,30.46,90,5.22,181878,345568.2,NM
111320,47.48,63,6.27,109730,98757,PA
111327,33.46,87,0.25,199654,239584.8,PA
111328,56.61,60,12.3,155122,325756.2,MS
111330,34.6,59,13.55,172037,481703.6,NH
111335,44.73,56,20.74,146491,366227.5,KY
111337,55.4,41,20.4,114128,125540.8,OH
111338,37.69,42,9.79,118874,59437,GA
111340,29.36,56,8.1,177644,461874.4,OH
111341,40.62,51,14.97,197234,216957.4,WI
111342,22.47,46,0.53,137859,413577,CO
111344,52.46,60,14.8,154774,464322,LA
111348,25.44,48,0.27,166337,166337,FL
111350,51.12,81,3.12,198095,435809,TN
111354,55.23,55,27.54,133369,133369,WI
111355,54.99,69,26.35,81416,40708,NJ
111357,48.09,55,23.57,113174,339522,DE
111359,36.84,75,12.69,198956,298434,AL
111363,35.93,43,4.12,50519,35363.3,NJ
111367,35.25,50,9.33,126203,315507.5,NY
111372,51.52,80,1.99,169525,491622.5,MT
111374,21.99,51,0.42,95306,200142.6,PA
111375,25.52,72,1.9,149330,253861,LA
111377,28.25,80,5.41,97377,233704.8,MS
111379,53.92,74,16.11,168315,504945,NE
111380,54.59,56,13.59,69760,41856,VA
111381,38.64,44,15.33,74506,223518,AL
111385,40.39,54,13.31,59058,59058,KY
111386,57.57,54,18.74,147515,265527,MI
111387,43.17,87,4.13,53707,118155.4,KY
111388,28.09,88,1.67,149586,224379,NY
111389,25.79,59,4.49,105055,52527.5,MO
111390,40.95,64,0.79,166501,133200.8,NY
111396,53.29,75,28.57,194979,97489.5,KY
111397,36.15,58,14.38,135603,379688.4,IA
111398,23.45,51,0.18,162615,406537.5,NJ
111399,34.73,85,10.85,91072,255001.6,NC
111403,55.85,55,32.26,198515,198515,DC
111404,56.15,55,20.81,58104,81345.6,GA
111405,55.99,79,9.13,104706,261765,IL
111408,43.14,80,2.4,160801,305521.9,NY
111409,45.64,47,16.02,89258,232070.8,IL
111411,53.53,59,24.59,118340,82838,AZ
111414,54.95,44,21.18,140001,154001.1,TX
111423,38.55,71,13.83,86838,173676,OH
111424,48.89,46,20.42,84163,244072.7,NY
111427,51.87,53,10.58,147679,177214.8,WV
111432,26.82,75,2.65,80277,144498.6,AR
111436,46.75,43,6.94,91841,82656.9,AZ
111437,49.95,59,10.65,111431,245148.2,UT
111439,25.38,79,4.27,189791,474477.5,OR
111441,59.58,44,9.34,73716,221148,ND
111442,43.27,78,7.16,196608,412876.8,ND
111443,41.45,53,8.6,166921,417302.5,IN
111445,27.22,54,3.33,114967,68980.2,SD
111446,26.36,89,5.12,188581,320587.7,WV
111447,30.47,53,4.57,178484,107090.4,ND
111449,51.34,59,27.18,111687,178699.2,CA
111450,55.1,87,19.28,146121,263017.8,NC
111459,46.17,52,11.9,132138,211420.8,KY
111464,32.16,86,8.38,64736,142419.2,FL
111465,35.69,65,3.32,42471,89189.1,CA
111468,45.83,62,7.55,147843,399176.1,ME
111469,56.83,55,4.62,152589,350954.7,CO
111470,29.36,59,7.31,115480,184768,IN
111472,34.19,42,4.91,159406,79703,TX
111473,50.43,58,10.14,122297,158986.1,MI
111476,26.42,57,4.75,109524,87619.2,WA
111477,28.01,79,1.16,175716,87858,WI
111478,24.16,43,2.06,187884,131518.8,CA
111479,42.71,45,13.09,81907,221148.9,VT
111480,55.54,51,23.15,128509,179912.6,CA
111482,36.21,58,11.22,130580,261160,PA
111484,45.92,88,17.15,41517,83034,WA
111485,32.24,43,6.23,75951,75951,MO
111489,23.37,79,2.15,148960,208544,OH
111490,33.11,60,8.19,119272,322034.4,MD
111493,35.16,58,4.97,106499,85199.2,SC
111497,31.14,76,4.31,125485,326261,TN
111499,34.45,45,9.8,78278,109589.2,NY
111501,59.45,89,36.8,75602,83162.2,IL
111502,43.86,75,10.72,164060,82030,TN
111506,37.41,43,2.23,141189,423567,FL
111509,26.05,59,4.77,133163,186428.2,NY
111510,33.71,41,10.9,96053,192106,NY
111512,56.13,50,32.59,85956,77360.4,FL
111513,46.22,59,1.63,125136,275299.2,PA
111514,40.01,86,8.89,198750,417375,MO
111518,57.02,49,20.76,107012,246127.6,KS
111522,25.68,64,3.67,98985,207868.5,PA
111527,50.94,47,29.42,80861,202152.5,IL
111528,28.28,57,3.08,196331,392662,CA
111530,26.02,47,1.62,178811,447027.5,MO
111533,55.17,40,9.96,109339,284281.4,TN
111538,33.1,60,6.4,160082,96049.2,CO
111539,54.33,61,10.42,103383,299810.7,PA
111540,54.38,45,31.35,73695,117912,NH
111541,23.32,67,2.21,196587,511126.2,MI
111547,28.07,57,4.04,65064,130128,NY
111548,54.87,49,29.71,123834,148600.8,IN
111552,39.41,64,3.76,199518,438939.6,IL
111558,45.75,81,4.02,159129,429648.3,PA
111562,29.5,81,0.11,121414,97131.2,DC
111563,53.22,74,2.32,195028,214530.8,OH
111566,51.99,89,5.15,105966,158949,NJ
111568,49.2,57,9.62,66181,72799.1,ME
111569,38.05,56,4.78,154638,355667.4,DC
111570,41.05,69,0.9,151963,75981.5,MD
111573,47.22,60,19.13,166202,481985.8,MS
111574,36.73,53,7.38,116924,175386,AK
111577,53.31,41,17.96,116319,302429.4,AZ
111578,59.73,49,32.09,79210,47526,MO
111581,45.41,47,2.35,150148,210207.2,ND
111584,48.83,67,21.85,46242,120229.2,CA
111588,48.81,56,13.65,161107,273881.9,IL
111589,35.87,58,1.23,111829,324304.1,TX
111590,30.56,86,4.61,143587,215380.5,OR
111593,28.46,44,3.06,96381,125295.3,NV
111594,58.82,72,5.12,113295,294567,NC
111595,59.01,83,37.46,41752,108555.2,IA
111596,26.2,44,5.15,53920,118624,SD
111599,52.27,55,15.49,166714,366770.8,IL
111603,43.72,41,8.18,101988,101988,UT
111608,55.81,73,2.69,152731,168004.1,MD
111609,27.09,75,4.1,157478,173225.8,FL
111611,53.74,51,1.18,41403,111788.1,WV
111612,35.31,54,10.28,137283,302022.6,OK
111614,40.98,50,18.71,139353,376253.1,FL
111616,55.53,68,24.93,72557,108835.5,IA
111621,58.28,67,16.46,165156,181671.6,NY
111623,44.77,55,12.35,56503,163858.7,SC
111625,30.8,55,8.73,184141,147312.8,GA
111628,39.53,46,14.51,53223,69189.9,MN
111629,49.3,75,26.3,72813,211157.7,KS
111631,34.66,52,2.45,151173,377932.5,KS
111632,29.04,70,2.87,141076,310367.2,WI
111635,49.71,55,5.1,101291,60774.6,NC
111637,33.01,49,3.88,76349,129793.3,OK
111638,45.24,72,22.83,191819,287728.5,MA
111640,30.52,55,4.93,193890,407169,IA
111643,46.7,66,20,75140,37570,CA
111644,51.6,73,25.69,45452,22726,NM
111645,47.69,68,8.03,57620,80668,HI
111646,25.91,59,3.81,187934,263107.6,AL
111650,41.56,43,5.87,88774,88774,OR
111653,37.08,57,4.4,186724,242741.2,MI
111656,37.32,45,10.74,40962,40962,TX
111657,24.43,73,1.37,171275,325422.5,OH
111659,23.26,53,2.02,55201,160082.9,MA
111661,44.19,57,15.66,49850,64805,CA
111666,58.16,55,14.35,88425,229905,HI
111668,24.59,87,0.45,166785,350248.5,OH
111672,33.37,53,1.26,116903,116903,ME
111676,40.37,48,11.92,162900,162900,OK
111685,42.72,73,8.82,87471,183689.1,WA
111687,51,60,5.36,96964,116356.8,PA
111688,30.32,47,3.98,150988,181185.6,MT
111689,21.06,75,0.06,155734,155734,AZ
111692,21.6,44,0.01,142961,257329.8,MO
111694,49.32,65,13.23,137610,316503,DC
111695,52.18,65,25.3,199056,398112,PA
111698,28.13,51,3.39,156595,78297.5,OH
111699,24.77,46,0.44,50618,91112.4,NY
111700,51.79,42,25.43,89798,134697,GA
111703,27.95,77,3.87,54760,60236,WA
111706,32.73,57,1.07,187144,336859.2,TX
111709,37.29,57,12.24,174371,278993.6,MA
111713,40.76,58,4.99,117066,339491.4,IN
111714,44.54,54,11.01,190680,95340,SC
111715,39.98,89,14.63,50270,45243,NY
111717,30.24,65,3.71,163064,244596,CT
111719,35.81,86,8.92,179978,539934,MA
111720,31.2,53,8.63,199568,598704,IA
111721,22.96,56,1.27,93591,74872.8,MN
111727,41.22,77,17.98,65369,124201.1,AZ
111729,36.42,41,9.74,55272,93962.4,KY
111732,33.36,58,12.3,145800,102060,AL
111733,47.58,59,8.81,59413,47530.4,MN
111742,28.77,51,1.77,170998,239397.2,IL
111745,42.65,62,19.23,185237,111142.2,OH
111747,25.3,68,0.63,56994,56994,WI
111748,48.23,52,3.85,103596,72517.2,NC
111750,26.38,69,4.99,196800,196800,RI
111752,42.9,41,15.87,107737,107737,AZ
111754,37.51,65,0.31,173930,104358,SD
111757,46.48,52,11.72,62601,187803,LA
111759,40.96,59,16.09,45082,72131.2,TX
111761,48.04,86,25.32,101177,202354,HI
111762,41.02,76,11.43,105923,275399.8,CA
111764,33.02,43,2.05,103247,113571.7,CT
111767,59.69,75,5.62,137076,301567.2,SD
111771,33.85,43,5.11,156062,109243.4,MI
111773,32.55,81,2.86,180398,198437.8,IA
111774,59.09,61,5.17,192566,327362.2,KY
111779,56.24,65,26.93,159598,207477.4,MI
111781,55.92,42,29.65,169091,321272.9,ME
111783,43.67,50,7.73,109716,120687.6,CA
111789,29.89,78,0.12,194893,428764.6,NE
111791,41.35,60,8.78,90987,54592.2,PA
111794,22.27,84,0.14,51202,51202,TX
111795,43.08,58,1.35,48526,53378.6,MN
111796,38.34,74,9.68,186261,353895.9,MA
111802,26.85,81,4.73,108762,163143,CT
111803,58.22,90,27.42,59485,53536.5,PA
111805,41.94,53,19.58,54133,108266,GA
111806,32.28,64,0.21,66302,86192.6,VA
111808,23.23,46,2.23,166928,133542.4,NM
111809,53.89,56,22.49,141986,411759.4,NY
111812,42.25,55,9.71,156225,453052.5,TX
111814,49.04,58,2.95,165718,248577,CA
111816,22.98,41,1.39,71909,179772.5,ND
111819,30.65,57,0.86,100992,70694.4,MS
111821,35.45,54,12.7,88219,167616.1,PA
111822,48.64,60,6.67,85543,256629,MT
111823,30.25,78,0.25,97711,107482.1,AK
111825,25.1,55,4.08,149059,253400.3,MI
111830,54.18,59,32.25,54646,27323,OK
111832,27.32,52,2.96,113416,124757.6,MO
111833,56.03,65,20.49,68885,151547,IA
111838,27.05,47,2.73,176328,493718.4,PA
111840,56.36,55,28.31,40663,113856.4,AL
111841,53.92,54,14.08,64999,142997.8,OK
111842,25.52,80,3.15,69746,48822.2,MS
111845,59.06,40,16.21,98828,49414,PA
111846,26.41,48,3.07,103575,258937.5,ID
111848,34.66,55,3.01,56368,56368,IA
111849,53.5,43,21.75,48946,73419,TX
111850,32.62,85,10.35,107716,140030.8,AR
111851,22.15,42,1.13,70607,91789.1,IL
111852,55.5,80,6.81,117209,210976.2,MA
111854,32.44,42,5.68,183401,385142.1,PA
111855,50.56,78,26.51,119279,274341.7,MI
111859,21.71,45,0.48,115999,289997.5,AR
111860,26.01,60,1.06,143011,314624.2,LA
111861,57.9,49,11.42,41780,75204,PA
111868,41.13,67,9.83,97270,243175,CA
111869,33.13,90,7.19,163462,130769.6,GA
111871,36.38,80,5.56,69653,201993.7,NC
111874,59.95,68,11.05,42036,126108,CA
111877,47.17,80,25.5,63697,191091,VA
111878,49.61,79,22.06,117721,200125.7,ID
111883,59.12,58,27.72,77331,131462.7,TX
111886,45.83,76,15.63,133426,173453.8,MS
111890,47.28,65,0.3,76122,159856.2,AL
111892,43.15,59,4.71,127470,254940,MI
111895,39.24,46,11.81,99853,99853,ME
111896,52.04,42,9.94,161299,145169.1,TN
111897,43.35,58,0.02,143779,71889.5,PA
111899,31.99,89,4.99,175538,438845,DC
111903,35.09,50,0.46,41944,54527.2,CA
111905,49.42,57,24.59,127726,229906.8,PA
111906,38.58,52,0.01,152062,212886.8,AR
111907,22.52,54,0.12,129797,376411.3,ID
111910,43.95,50,14.5,75168,210470.4,IA
111912,53.11,73,27.48,84661,118525.4,TX
111914,25.58,58,2.18,79309,198272.5,TX
111915,48.34,49,10.47,76634,183921.6,IL
111918,46.34,76,0.69,90873,245357.1,AL
111919,43.29,75,16.08,95619,114742.8,TX
111920,34.23,68,2.73,80775,40387.5,MT
111921,42.41,41,16.5,51088,122611.2,TX
111922,50.05,56,15.67,109858,307602.4,PA
111927,39.12,42,1.96,141011,141011,OK
111928,39.24,48,1.28,180192,108115.2,MI
111929,40.92,78,17.31,150504,225756,LA
111935,52.1,52,8.14,186404,503290.8,CA
111937,57.55,56,15.79,127029,381087,IL
111938,37.47,85,15.13,193221,425086.2,WI
111943,54.79,58,10.09,56951,74036.3,WI
111944,46.29,86,2.48,76541,53578.7,OH
111948,49.39,61,15.86,129960,259920,AR
111953,55.02,74,8.82,111836,123019.6,FL
111955,43.47,79,21.34,52461,136398.6,PA
111958,52.26,57,12.35,93712,159310.4,IL
111963,27.31,42,2.48,75588,166293.6,MN
111965,44.94,77,20.32,85080,136128,NJ
111967,49.77,57,28.38,52717,131792.5,WI
111968,31.89,64,8.72,183031,530789.9,NE
111970,30.74,56,1.16,123656,160752.8,OR
111971,40.77,46,3.25,197270,532629,NC
111972,50.41,87,24.05,83871,58709.7,MD
111976,46.78,41,22.92,117700,200090,PA
111977,42.52,81,13.05,122446,146935.2,WI
111980,27.12,68,1.1,79985,143973,IA
111982,40.66,40,14.69,69888,146764.8,PA
111983,27.38,74,6.3,67212,40327.2,NC
111985,34.24,59,7.33,118561,201553.7,NY
111987,35.23,77,0.12,113210,147173,WI
111988,39.99,54,11.21,56510,33906,NC
111990,39.15,47,0.75,184148,386710.8,VA
111991,28.32,59,3.44,154460,386150,NC
111992,30.99,68,5.34,102507,133259.1,NE
111993,47.29,57,26.28,149109,387683.4,NY
111994,40.33,51,4.58,168699,202438.8,TX
111996,46.69,51,17.04,94480,132272,TN
111997,41.33,41,15.38,141083,282166,CO
112002,23.25,57,1.05,157392,173131.2,WV
112003,56.38,48,22.07,189150,510705,PA
112006,46.9,78,11.95,73076,211920.4,KY
112009,58.12,65,5.5,198038,217841.8,FL
112010,37.91,48,9.65,195363,312580.8,IL
112012,55.47,74,34.22,86710,234117,ME
112014,47.76,57,3.76,123214,160178.2,CA
112019,58.99,43,32.87,188802,320963.4,KY
112021,24.07,57,2.44,94993,104492.3,AL
112025,59.67,79,14.75,106556,117211.6,PA
112029,50.24,71,10.78,189663,379326,ME
112030,59.33,89,36.78,68842,151452.4,IL
112032,43.32,53,1.71,112768,191705.6,GA
112035,54.68,72,26.19,119585,263087,KY
112038,42.89,82,20.52,168258,386993.4,OR
112040,47.28,59,17.48,94039,188078,GA
112042,49.6,53,5.35,133219,199828.5,CA
112043,55.33,50,7.59,88688,150769.6,TX
112047,53.15,90,27.65,107673,323019,IN
112049,53.39,87,12.83,67888,169720,KY
112050,50.85,45,7.54,183358,531738.2,MT
112054,45.44,48,4.12,182753,383781.3,IN
112055,58.88,51,36.51,96366,134912.4,KS
112056,40.97,85,7.02,142968,371716.8,WA
112057,47.51,75,18.7,189570,151656,PA
112059,25,55,1.25,137617,371565.9,WV
112061,37.35,52,8.25,181543,381240.3,IN
112062,59.64,62,34.14,87735,193017,IA
112066,48.09,73,20.44,72286,159029.2,NC
112067,53.82,53,22.35,42598,46857.8,AR
112069,40.91,49,17.59,143224,214836,TX
112071,23.56,69,2.11,164885,230839,PA
112074,30.84,82,3.5,125100,350280,WV
112075,40.06,40,4.27,53557,42845.6,IL
112078,37.12,48,14.75,121820,243640,WV
112079,50.77,70,27.78,133988,174184.4,DC
112081,26.54,71,0.75,123890,284947,IA
112084,27.06,71,2.01,172563,207075.6,MN
112087,46.36,48,3.6,88247,229442.2,TX
112090,44.43,78,19.39,90318,162572.4,IN
112091,56.43,58,33.93,198365,595095,AR
112096,50.84,62,16.36,130964,117867.6,AL
112099,55.22,60,4.37,41901,33520.8,MI
112100,52.99,64,24.08,46647,69970.5,MO
112101,38.16,49,5.47,154695,201103.5,CA
112105,23.21,52,2.11,127078,355818.4,MA
112108,38.73,62,9.92,42762,51314.4,WV
112111,45.26,77,12.59,140712,422136,FL
112113,26.16,58,4.59,73915,133047,OH
112114,32.42,76,3.56,71240,192348,MI
112120,37.72,41,6.02,156417,469251,ND
112121,45.99,48,5.86,188175,413985,MO
112122,45.53,43,20.4,165910,182501,MT
112123,38.68,42,13.28,113957,227914,PA
112124,43.67,81,21.1,153137,137823.3,NV
112125,34.08,55,3.16,180149,468387.4,CA
112126,32.31,47,5.15,177473,283956.8,IL
112130,50.7,59,28.53,43879,26327.4,ME
112132,57.39,53,14.28,191107,210217.7,AL
112137,56.5,50,15.74,180405,324729,NE
112138,21.31,58,0.28,158139,253022.4,AL
112139,31.02,82,1.03,162886,439792.2,TX
112142,24.62,57,1.36,150113,435327.7,MO
112143,36.12,79,10.32,196715,157372,OK
112145,23.97,56,0.14,100230,290667,GA
112147,54.83,54,29.97,48277,115864.8,VT
112149,26.36,76,3.77,84781,237386.8,GA
112150,49.5,45,11.79,104372,281804.4,IA
112151,51.86,55,15.24,86852,173704,DE
112153,25.74,49,2.02,42321,105802.5,FL
112157,58.2,44,10.29,164608,82304,WA
112158,36.31,85,12.6,120076,72045.6,CA
112160,26.01,75,1.48,144413,144413,FL
112164,55.96,53,7.76,170820,136656,AL
112165,26.29,54,5.28,106698,298754.4,NC
112166,24.04,51,0.52,165469,364031.8,IA
112171,51.27,40,29.3,127754,63877,IA
112174,29.62,55,2.73,191271,535558.8,IL
112176,36.58,40,10.09,193342,348015.6,NC
112178,57.64,83,15.03,42833,119932.4,OH
112179,36.1,84,14.06,109025,305270,FL
112180,38.87,45,1.88,52326,88954.2,FL
112183,37.36,55,7.27,169866,509598,AZ
112184,24.05,41,1.95,90901,99991.1,TX
112193,21.91,45,0.41,133618,293959.6,TX
112197,37.19,47,10.28,83735,41867.5,GA
112199,29.11,54,4.67,43950,30765,ID
112200,40.01,52,18.44,174264,156837.6,MT
112209,57.11,82,20.67,98835,138369,LA
112211,52.17,76,14.84,157606,283690.8,LA
112212,56.22,49,0.14,135340,378952,KY
112214,30.59,52,0.23,46277,69415.5,SD
112215,31.13,49,4.08,92879,222909.6,MI
112216,41.19,40,13.28,119891,239782,NY
112218,36.54,49,14.59,80106,192254.4,NC
112221,46.08,49,0.08,86923,43461.5,IL
112222,21.35,51,0.3,182803,201083.3,CT
112227,51.34,42,21.32,130245,312588,AL
112229,27.07,41,3.27,105304,105304,UT
112234,22.89,59,0.15,106770,96093,WA
112235,26.28,40,5.12,50070,95133,IN
112237,43.28,55,15.98,185130,222156,AZ
112238,48.56,90,7.08,118333,70999.8,CA
112239,31.15,44,2.5,194622,253008.6,IL
112241,33.99,75,3.18,174428,244199.2,IA
112243,42.33,67,18.48,95462,286386,MI
112246,42.11,45,3.59,109701,230372.1,RI
112248,24.64,72,3.52,138784,152662.4,AL
112249,40.1,69,8.13,116518,174777,TX
112251,35.88,48,9.19,103745,228239,KS
112252,51.27,44,12.25,138179,69089.5,AR
112253,39.27,60,5.81,86226,129339,SD
112254,25.17,53,0.42,125406,75243.6,NC
112255,43.36,48,3.2,194274,135991.8,WA
112256,21.1,61,0.05,157164,471492,GA
112257,34.36,52,11.67,63355,158387.5,NY
112258,44.96,85,10.05,193669,348604.2,MO
112259,29.83,77,1.3,53258,101190.2,SD
112260,56.91,46,3.29,188318,169486.2,ME
112263,54.75,56,0.79,141111,239888.7,AL
112266,36.76,50,5.96,140506,337214.4,CA
112267,49.58,47,12.19,152674,213743.6,TN
112273,30.39,70,8.21,131874,197811,SC
112274,34.7,83,8.27,185898,408975.6,MN
112275,22.54,55,0.86,79921,231770.9,ID
112280,42.39,58,14.72,61797,92695.5,NV
112282,37.17,67,14.61,182013,382227.3,MS
112285,28.68,43,4.95,119962,323897.4,AL
112293,31.19,49,4.93,192367,288550.5,TX
112295,56.95,59,35.12,132992,93094.4,CA
112299,25.06,55,3.93,48675,38940,KY
112302,54.92,52,26.7,188481,376962,AZ
112306,51.64,51,8.59,123755,284636.5,TN
112311,33.45,58,7.72,41510,112077,WA
112312,47.25,55,20.11,110377,231791.7,KS
112313,23.39,87,2.14,156979,235468.5,TX
112314,58.73,46,7.32,70592,155302.4,AK
112321,32.08,51,7.66,76804,176649.2,PA
112325,41.22,46,4.44,130224,156268.8,CA
112330,44.45,60,22.25,168799,320718.1,IL
112331,31.69,51,6.31,82412,98894.4,OK
112333,57.46,65,29.03,57471,57471,PA
112335,57.96,89,29.93,120987,326664.9,IL
112338,33.36,51,5.05,184504,405908.8,OK
112339,38.82,85,5.04,181828,290924.8,ME
112342,31.62,55,6.82,107609,301305.2,MT
112344,34.75,45,12.41,87414,122379.6,KY
112350,41.21,81,12.52,138158,345395,CO
112351,50.35,60,2.47,142904,257227.2,OR
112356,57.64,73,23.07,151792,136612.8,NJ
112357,30.89,51,5.49,72827,101957.8,IN
112360,28.36,45,2.02,170777,375709.4,FL
112361,57.21,59,17.59,163355,163355,IN
112362,52.72,47,15.62,153258,245212.8,MS
112363,31.68,51,3.48,101305,273523.5,GA
112369,48.48,71,1.73,75758,159091.8,TX
112372,29.9,51,0.61,75154,75154,AL
112373,31.4,46,0.32,198045,435699,WA
112374,57.23,43,9.68,77224,177615.2,TX
112375,39.23,40,17.97,111658,167487,NY
112377,39.68,53,12.95,91463,173779.7,MA
112378,54.1,81,25.54,152909,259945.3,PA
112381,46.27,78,16.65,56425,135420,TX
112382,30,45,5.01,157050,282690,TX
112387,33.19,54,5.29,146348,175617.6,NC
112389,34.48,43,0.66,190275,247357.5,WY
112391,49.48,64,13.53,96466,289398,FL
112392,41.72,45,7.02,59356,29678,AZ
112394,31.93,41,9.76,167404,318067.6,WI
112400,25.19,49,2.59,112170,145821,NJ
112406,54.01,82,7.15,175082,315147.6,TX
112409,23.73,60,0.04,105610,200659,MD
112410,40.52,65,8.05,117778,117778,FL
112415,26.48,69,4.24,168521,168521,WI
112419,31.05,57,2.48,76783,161244.3,CA
112420,40.59,68,19.37,88951,142321.6,WV
112422,36.19,56,3.6,76178,53324.6,TX
112423,59.44,55,19.14,46491,106929.3,IN
112426,58.94,54,0.3,166707,383426.1,MI
112427,52.63,49,26.18,45886,32120.2,NJ
112429,25.04,55,1.36,124246,248492,KY
112432,35.79,56,10.87,47352,108909.6,NJ
112435,58.28,44,35.1,160146,304277.4,FL
112442,58.3,44,18.54,67803,142386.3,OR
112443,50.6,47,1.22,171104,119772.8,PA
112444,45.22,59,23.8,175851,158265.9,VT
112445,53.34,46,26.91,47608,42847.2,KY
112448,54.41,54,10.43,152980,229470,WV
112449,45.16,62,17.04,192160,384320,IL
112451,30.97,54,0.38,68664,89263.2,CT
112454,29.47,56,1.28,55891,111782,PA
112455,51.51,40,2.27,171361,462674.7,CT
112456,26.5,54,5.5,114661,160525.4,MA
112460,33.58,46,6.78,195092,468220.8,IN
112462,22.99,45,1.28,162729,97637.4,MS
112465,31.12,83,5.26,66244,33122,IN
112467,58.18,50,31.16,75737,106031.8,AK
112468,31.75,61,1.89,149351,403247.7,VA
112471,27.69,50,5.97,67710,33855,MD
112472,40.08,60,7.7,114312,57156,NV
112476,34.24,58,0.65,125876,125876,PA
112477,33.25,68,1.32,130622,222057.4,MO
112478,29.63,72,4.24,59079,159513.3,CA
